Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0.0,0.8108000159263611,"people, country, fake, many, year, big, want, job, make, go","['admit', 'obamacare', 'death', 'panel', 'yesterday', 'obamacare', 'must', 'repeal', 'healthcare', 'destroy', 'congratulation', 'son', 'make', 'list', 'do', 'great', 'job', 'former', 'call', 'must', 'need', 'political', 'turmoil', 'day', 'leave', 'tell', 'dummy', 'leave', 'oil', 'believable', 'tax', 'import', 'tax', 'tax', 'system', 'fair', 'smart', 'one', 'encourage', 'growth', 'saving', 'investment', 'timetogettough', 'plain', 'fact', 'free', 'trade', 'require', 'fair', 'rule', 'apply', 'proud', 'list', 'great', 'gift', 'idea', 'new', 'easy', 'order']"
1.0,0.4047999978065491,"member, voting, dirty, stick, copy, pastor, seal, cripple, collapse, outlet","['straight', 'friend', 'tremendous', 'seal', 'take', 'oil', 'axis', 'world', 'economy', 'spin', 'price', 'cont', 'signing', 'copy', 'new', 'book', 'time', 'tough', 'interview', 'discuss', 'election', 'barackobama', 'habitual', 'vacationer', 'read', 'upcoming', 'day', 'vacation', 'establishment', 'threaten', 'debate', 'debate', 'architect', 'responsible', 'lose', 'house', 'become', 'today', 'discuss', 'debate', 'foxandfriend', 'interview', 'duscusse', 'gretawire', 'discuss', 'fail', 'timetogettough']"
2.0,0.9854999780654907,"change, rate, must, case, whole, low, obamacare, safety, judge, price","['need', 'balanced', 'budget', 'amendment', 'fiscal', 'discipline', 'answer', 'robust', 'grow', 'economy', 'cut', 'elderly', 'pressure', 'debt', 'ceiling', 'business', 'private', 'sector', 'background', 'show', 'fiscal', 'mismanagement', 'cash', 'cost', 'taxpayer', 'billion', 'cut', 'fraud', 'waste', 'cut', 'funding', 'senior', 'thought', 'situation', 'yesterday', 'friend', 'crazy', 'get', 'want', 'great', 'time', 'new', 'think', 'much', 'debt', 'put', 'default', 'kill', 'need', 'tough', 'negotiator', 'high', 'taxis', 'kill', 'job', 'creation', 'cut', 'wild', 'government', 'spend', 'waste']"
3.0,0.920199990272522,"great, border, news, happen, come, thank, process, meeting, ready, work","['tomorrow', 'night', 'introduce', 'beautiful', 'inspire', 'melania', 'timepiece', 'fashion', 'jewelry', 'collection', 'look', 'beautiful', 'wife', 'trump', 'debuting', 'fantastic', 'jewelry', 'collection', 'look', 'may', 'host', 'morale', 'appear', 'superstar', 'trace', 'adkin', 'pop', 'rock', 'sensation', 'boy', 'girl', 'provide', 'mother', 'fantastic', 'bret', 'send', 'good', 'wish', 'full', 'recovery', 'look', 'may', 'host', 'live', 'beautiful', 'represent', 'put', 'celebrity', 'apprentice', 'celebrity', 'check', 'ivanka', 'page', 'keep', 'happen', 'celebrity', 'apprentice', 'free', 'ticket']"
4.0,0.3230000138282776,"wall, deep, innocent, boom, achieve, billionaire, anger, spread, movie, working","['perform', 'live', 'root', 'mark', 'calender', 'list', 'fundraiser', 'd', 'event', 'hold', 'trump', 'westchester', 'club', 'westchester', 'check', 'last', 'feature', 'favorite', 'www', 'youtube', 'com', 'user', 'last', 'webisode', 'com', 'user', 'feature', 'favorite', 'last', 'day', 'enter', 'counting', 'sheep', 'hire', 'contest', 'click', 'www', 'youtube', 'com', 'user', 'mattressserta', 'could', 'win', 'trip', 'trip', 'would', 'trump', 'forget', 'enter', 'serta', 'counting', 'hire', 'contest', 'www', 'youtube', 'com', 'user', 'original', 'apprentice', 'return', 'hour', 'premiere', 'look', 'fantastic', 'season']"
6.0,0.7357000112533569,"hard, woman, result, crazy, work, announce, come, source, nice, crowd","['great', 'american', 'tradition', 'colt', 'saint', 'champion', 'may', 'good', 'team', 'win', 'appear', 'today', 'question', 'appear', 'final', 'show', 'deliver', 'special', 'message', 'new', 'jewelry', 'line', 'debut', 'many', 'say', 'good', 'night', 'entertainment', 'hour', 'season', 'see', 'new', 'season', 'celebrity', 'apprentice', 'great', 'start', 'last', 'night', 'sweep', 'hour', 'key', 'demographic', 'olympic', 'gold', 'medalist', 'leave', 'office', 'town', 'want', 'fanastic', 'guy', 'true', 'announce', 'theoriginal', 'apprentice', 'offer', 'job', 'opportunity', 'need', 'come', 'last', 'week', 'episode', 'set', 'stage', 'great', 'new', 'season', 'tune']"
7.0,0.9842000007629395,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['say', 'spend', 'elect', 'match', 'preserve', 'last', 'name', 'bad', 'rating', 'thousand', 'mail', 'folk', 'urge', 'seek', 'elect', 'presidential', 'nomination', 'check', 'new', 'book', 'time', 'tough', 'make', 'discuss', 'moderate', 'debate', 'feel', 'sorry', 'new', 'partner', 'love', 'parent', 'devastate', 'true', 'fail', 'pm', 'fail', 'bad', 'pm', 'make', 'funny', 'talented', 'save', 'time', 'horrible', 'rating', 'mention', 'name', 'talk', 'show', 'get', 'foxnew', 'explain', 'keep', 'option', 'available']"
8.0,0.9406999945640564,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['great', 'friend', 'true', 'legend', 'lose', 'great', 'man', 'visit', 'beautiful', 'golf', 'course', 'weekend', 'club', 'colts', 'neck', 'colt', 'neck', 'asp', 'spectacular', 'club', 'westchester', 'westchester', 'accept', 'raise', 'celebrity', 'apprentice', 'could', 'newest', 'apprentice', 'enter', 'contest', 'help', 'serta', 'counting', 'sheep', 'work', 'enter', 'contest', 'win', 'trip', 'stay', 'fantastic', 'enter', 'contest', 'stay', 'michael', 'morale', 'co', 'host', 'live']"
