Chunk_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,3.0,0.6080999970436096,"great, border, news, happen, come, thank, process, meeting, ready, work","['late', 'update', 'bret', 'michael', 'make', 'effort', 'attend', 'live', 'finale', 'vote', 'new', 'page', 'congratulation', 'bret', 'michael', 'new', 'celebrity', 'true', 'champion', 'happy', 'see', 'catch', 'bret', 'bret', 'fantastic', 'great', 'time', 'terrific', 'season', 'congrat', 'scotland', 'spend', 'several', 'year', 'look', 'right', 'place', 'visit', 'site', 'right', 'place', 'sand', 'dune', 'bluff', 'walk', 'fantastic', 'dune', 'amazing', 'learn', 'geomorphology', 'study', 'movement', 'landform', 'great', 'trip', 'wish', 'happy', 'weekend', 'special', 'thought', 'veteran', 'do', 'much', 'freedom', 'turn', 'table', 'night', 'interview', 'anniversary', 'show']"
11,8.0,0.7540000081062317,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['check', 'westchester', 'fantastic', 'great', 'season', 'watch', 'tomorrow', 'night', 'tonight', 'trade', 'place', 'interview', 'feature', 'good', 'clip', 'honor', 'choose', 'gray', 'line', 'fame', 'campaign', 'today', 'ribbon', 'cut', 'ceremony', 'front', 'tower', 'check', 'gray', 'line', 'site', 'fame', 'gray', 'line', 'ride', 'fame', 'yesterday', 'cover', 'ride', 'fame', 'realestate', 'middle', 'fantastic', 'dinner', 'last', 'night', 'hotel', 'hot', 'new', 'restaurant', 'city', 'trump', 'hot', 'new', 'hotel', 'collection', 'trump', 'tonight', 'ultimate', 'merger', 'star', 'brave', 'bachelor']"
12,8.0,0.6563000082969666,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['time', 'personal', 'tonight', 'watch', 'live', 'celebrity', 'telethon', 'information', 'tonight', 'hour', 'telethon', 'great', 'job', 'live', 'last', 'night', 'raise', 'hour', 'raise', 'child', 'research', 'hospital', 'trading', 'shot', 'trump', 'article', 'expect', 'begin', 'today', 'golf', 'course', 'spectacular', 'wish', 'wonderful', 'weekend', 'lot', 'thankful', 'due', 'popular', 'demand', 'host', 'interview', 'fall', 'put', 'people', 'work']"
13,8.0,0.9406999945640564,"thank, other, great, little, good, news, man, entrepreneur, course, rally","['great', 'friend', 'true', 'legend', 'lose', 'great', 'man', 'visit', 'beautiful', 'golf', 'course', 'weekend', 'club', 'colts', 'neck', 'colt', 'neck', 'asp', 'spectacular', 'club', 'westchester', 'westchester', 'accept', 'raise', 'celebrity', 'apprentice', 'could', 'newest', 'apprentice', 'enter', 'contest', 'help', 'serta', 'counting', 'sheep', 'work', 'enter', 'contest', 'win', 'trip', 'stay', 'fantastic', 'enter', 'contest', 'stay', 'michael', 'morale', 'co', 'host', 'live']"
14,4.0,0.3230000138282776,"wall, deep, innocent, boom, achieve, billionaire, anger, spread, movie, working","['perform', 'live', 'root', 'mark', 'calender', 'list', 'fundraiser', 'd', 'event', 'hold', 'trump', 'westchester', 'club', 'westchester', 'check', 'last', 'feature', 'favorite', 'www', 'youtube', 'com', 'user', 'last', 'webisode', 'com', 'user', 'feature', 'favorite', 'last', 'day', 'enter', 'counting', 'sheep', 'hire', 'contest', 'click', 'www', 'youtube', 'com', 'user', 'mattressserta', 'could', 'win', 'trip', 'trip', 'would', 'trump', 'forget', 'enter', 'serta', 'counting', 'hire', 'contest', 'www', 'youtube', 'com', 'user', 'original', 'apprentice', 'return', 'hour', 'premiere', 'look', 'fantastic', 'season']"
15,3.0,0.6753000020980835,"great, border, news, happen, come, thank, process, meeting, ready, work","['day', 'miss', 'sure', 'tune', 'night', 'show', 'go', 'hot', 'tonight', 'look', 'congratulation', 'congratulation', 'fantastic', 'rake', 'great', 'rating', 'great', 'job', 'spend', 'beautiful', 'weekend', 'golf', 'go', 'game', 'last', 'night', 'bill', 'great', 'time', 'watch', 'win', 'late', 'show', 'tonight', 'counting', 'spectacular', 'collection', 'invite', 'family', 'box', 'match', 'open', 'yesterday', 'fantastic']"
16,6.0,0.5604000091552734,"hard, woman, result, crazy, work, announce, come, source, nice, crowd","['go', 'come', 'hour', 'premiere', 'apprentice', 'next', 'air', 'fall', 'excitement', 'opportunity', 'eric', 'great', 'job', 'annual', 'charity', 'out', 'proud', 'tune', 'tonight', 'hour', 'fantastic', 'season', 'sure', 'tune', 'timepiece', 'jewelry', 'tonight', 'live', 'tonight', 'action', 'pack', 'episode', 'apprentice', 'see', 'new', 'sizzle', 'reel', 'apprentice', 'exciting', 'episode', 'apprentice', 'see', 'dog', 'make', 'appearance', 'read', 'ivanka', 'last', 'night', 'apprentice', 'entertainment', 'weekly']"
17,7.0,0.43290001153945923,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['present', 'award', 'doctor', 'causa', 'tonight', 'exciting', 'episode', 'beautiful', 'trump', 'internatonal', 'golf', 'link', 'progressing', 'watch', 'tonight', 'forget', 'solution', 'company', 'poll', 'employ', 'adult', 'find', 'would', 'make', 'ideal', 'boss', 'forget', 'tune', 'tonight', 'see', 'unpredictable', 'exciting', 'episode', 'prepare', 'sensational', 'apprentice', 'tomorrow', 'night', 'morning', 'talk', 'tonight', 'episode', 'great', 'tough', 'exciting', 'surprising', 'discuss', 'variety', 'topic', 'tonight', 'first', 'part', 'series', 'tonight', 'want', 'sure', 'tune']"
18,3.0,0.41659998893737793,"great, border, news, happen, come, thank, process, meeting, ready, work","['tonight', 'last', 'week', 'available', 'abridge', 'form', 'good', 'info', 'know', 'get', 'wire', 'apprentice', 'tune', 'tonight', 'show', 'pm', 'sgt', 'salvatore', 'receive', 'medal', 'honor', 'pre', 'month', 'honor', 'visit', 'today', 'feature', 'tomorrow', 'night', 'deliver', 'excitement', 'qvc', 'good', 'wish', 'happy', 'thanksgiving', 'congratulation', 'nominate', 'tonight', 'good', 'final', 'high', 'excitement']"
19,3.0,0.6890000104904175,"great, border, news, happen, come, thank, process, meeting, ready, work","['tonight', 'fantastic', 'episode', 'way', 'great', 'minnelli', 'perform', 'new', 'apprentice', 'congratulation', 'brandy', 'new', 'apprentice', 'clint', 'great', 'player', 'terrific', 'season', 'hotel', 'open', 'trump', 'hotel', 'collection', 'nominate', 'travel', 'leisure', 'world', 'award', 'hotel', 'includetrump', 'international', 'walk', 'appear', 'live', 'final', 'show', 'night', 'year', 'forget', 'watch', 'tonight', 'legend', 'great', 'friend', 'go', 'fantastic', 'farewell', 'wish', 'happy', 'holiday', 'season', 'wish', 'happy', 'healthy', 'prosperous', 'year', 'watch', 'late', 'night', 'night', 'make', 'big', 'announcement']"
